Date,X1_TWII_Change,X2_TWII_Vol_Change,X3_SOX_Change,X4_Sentiment_Score
2026-02-18,0.3086,0.4283,0.266,-0.0071
2026-02-19,0.0495,0.4746,0.3241,0.0172
2026-02-20,-0.236,0.3797,0.4486,0.0438
2026-02-23,0.3561,0.405,0.3862,0.1182
2026-02-24,0.2518,0.3183,0.8638,0.1805
2026-02-25,0.4258,0.2716,0.7509,0.1169
2026-02-26,0.3611,0.2628,0.7906,0.1496
2026-02-27,0.6089,0.2728,0.7896,0.1865
2026-03-02,0.618,0.327,0.627,0.3099
2026-03-03,0.5415,0.045,0.5847,0.1145
2026-03-04,0.512,0.4144,0.0437,0.2818
2026-03-05,0.6814,0.1345,0.0136,0.1312
2026-03-06,0.4535,0.165,-0.0701,0.2362
2026-03-09,0.6776,0.1094,-0.7292,0.1577
2026-03-10,0.9769,0.1761,-0.4933,0.1702
2026-03-11,0.4801,-0.071,-0.5738,0.08
2026-03-12,0.6783,-0.0621,-0.4884,0.0695
2026-03-13,0.3558,-0.0333,-0.9167,0.0372
2026-03-16,0.4052,0.0127,-0.451,-0.1261
2026-03-17,0.3548,-0.2587,-0.5816,-0.011
2026-03-18,0.1591,0.023,-0.4986,-0.1268
2026-03-19,-0.0067,-0.1986,-0.4168,-0.2236
2026-03-20,0.2102,-0.0852,-0.1771,-0.0674
2026-03-23,-0.1489,-0.1922,0.436,-0.1812
2026-03-24,-0.1393,-0.2269,0.6924,-0.1014
2026-03-25,-0.0873,-0.3551,0.8444,-0.2431
2026-03-26,-0.0188,-0.1408,0.8031,-0.1252
2026-03-27,-0.2437,-0.2227,0.8144,-0.2504
2026-03-30,-0.4305,-0.317,0.5862,-0.1975
2026-03-31,-0.4077,-0.3803,0.8862,-0.1493
2026-04-01,-0.6754,-0.2298,0.8869,-0.1136
2026-04-02,-0.4001,-0.3135,0.5876,-0.1074
2026-04-03,-0.4941,-0.3781,0.3292,-0.1778
2026-04-06,-0.4739,-0.4311,-0.2951,0.0086
2026-04-07,-0.5244,-0.4251,-0.403,-0.0978
2026-04-08,-0.6133,-0.4371,-0.5422,-0.0182
2026-04-09,-0.7362,-0.4139,-0.2031,0.0101
2026-04-10,-0.5747,-0.6947,-0.4089,0.0806
2026-04-13,-0.6727,-0.2847,-1.1547,0.0436
2026-04-14,-0.2876,-0.2958,-0.7581,0.1472
2026-04-15,-0.4513,-0.4402,-0.3096,0.1258
2026-04-16,-0.4689,-0.3257,-0.6199,0.1269
2026-04-17,-0.313,-0.3184,-0.8185,0.2157
2026-04-20,0.0205,-0.2469,-0.36,0.182
2026-04-21,-0.1671,-0.4346,-0.2298,0.2075
2026-04-22,-0.0296,-0.1549,0.2244,0.0505
2026-04-23,0.0754,-0.275,-0.0346,0.2244
2026-04-24,-0.0007,-0.2442,0.3451,0.1822
2026-04-27,0.0239,-0.0931,0.4974,0.1171
2026-04-28,0.5412,0.0311,0.8422,0.1693
2026-04-29,0.2471,-0.0759,0.8296,0.1932
2026-04-30,0.4592,-0.0294,0.746,0.0847
2026-05-01,0.5878,0.0164,0.5104,0.0611
2026-05-04,0.5445,0.0526,0.809,0.8125
2026-05-05,0.6351,0.2658,0.4113,0.8095
2026-05-06,0.731,0.2399,0.3541,0.6471
2026-05-07,0.3382,0.2074,0.3584,-0.0476
2026-05-08,0.6014,0.3275,-0.1696,-0.1538
2026-05-11,0.5184,0.3428,-0.7932,0.68
2026-05-12,0.7922,0.2652,-0.36,-0.5385
2026-05-13,0.4231,0.3854,-0.7932,0.5714
2026-05-14,0.2483,0.284,-0.7918,0.5918
2026-05-15,0.5126,0.2621,-0.6936,0.1429
2026-05-18,0.2617,0.1779,-0.4969,0.3
2026-05-19,0.409,0.3483,-0.6383,0.0
