"公司代號","公司名稱","公司簡稱","產業類別","外國企業註冊地國","住址","營利事業統一編號","董事長","總經理","發言人","發言人職稱","代理發言人","總機電話","成立日期","上櫃日期","普通股每股面額","實收資本額(元)","已發行普通股數或TDR原發行股數","私募普通股(股)","特別股(股)","編製財務報告類型","普通股盈餘分派或虧損撥補頻率","普通股年度(含第4季或後半年度)現金股息及紅利決議層級","股票過戶機構","過戶電話","過戶地址","簽證會計師事務所","簽證會計師1","簽證會計師2","英文簡稱","英文通訊地址","傳真機號碼","電子郵件信箱","公司網址","投資人關係聯絡人","投資人關係聯絡人職稱","投資人關係聯絡電話","投資人關係聯絡電子郵件","公司網站內利害關係人專區網址","公司網站內公司治理資訊專區網址"
"1240","茂生農經股份有限公司","茂生農經","農業科技","－","台北市和平西路一段三十號二樓","	18795706","吳清德","吳清德","林信鴻","公司治理主管","邱紹齊","02-23671162","1967/02/18","2018/08/08",新台幣                 10.0000元,442323730,44232373,0,0,合併,每年,股東會,"元大證券股份有限公司股務代理部","02-2586-5859","106045台北市大安區敦化南路二段67號地下1樓","勤業眾信聯合會計師事務所","陳重成","黃海悅","MORNSUN　","2F.,No.30,Sec. 1,Heping W.Rd.,Zhongzheng Dist.,Taipei City 100028TAIPEI,TAIWAN(R.O.C)","02-23640694","bedford@morn-sun.com.tw","https://www.morn-sun.com.tw/?@","林信鴻","公司治理主管","02-23671162#155","bedford@morn-sun.com.tw","https://www.morn-sun.com.tw/","－"
"1259","安心食品服務股份有限公司","安心","觀光餐旅","－","台北市南港區經貿二路66號16樓之3","	23928945","黃茂雄","謝靜慧","高順興","副董事長","卓世賢","(02)2567-5001","1990/11/23","2011/12/15",新台幣                 10.0000元,323895000,32389500,0,0,合併,每年,董事會,"群益金鼎證券(股)公司股務代理部","(02)27023999","(106)台北市大安區敦化南路二段97號B2","資誠聯合會計師事務所","徐明釧","邱昭賢","AN-SHIN","16 F.-3, No. 66, Jingmao 2nd Rd., Nangang Dist., Taipei CityTaipei City 115605, Taiwan (R.O.C.)","(02)2567-5002","ir@mos.com.tw","http://www.mos.com.tw","張貴梅","副理","(02)2567-5001","ir@mos.com.tw","https://www.mos.com.tw/stakeholder/explanation.html","https://www.mos.com.tw/invest/basicData.html"
"1264","德麥食品股份有限公司","德麥","食品工業","－","新北市五股區五權五路31號","	23420497","林雪嬌","吳文欽","邱俊榮","財務經理","賴素瑛","(02)2298-1347","1989/06/29","2015/04/09",新台幣                 10.0000元,370523670,37052367,0,0,合併,每年,董事會,"富邦綜合證券(股)公司股務代理部","(02)2361-1300","台北市中正區許昌街17號2樓","勤業眾信聯合會計師事務所","張耿禧","劉力維","TEHMAG","No.31,Wuquan 5th Rd.,Wugu Dist.,New Taipei City,Taiwan,R.O.C.","(02)2298-2263","ir@tehmag.com.tw","http://www.tehmag.com.tw","邱俊榮","財務經理","(02)2298-1347","willychiou@tehmag.com.tw","https://www.tehmag.com.tw/investors.php?NO=0&sNO=3","https://www.tehmag.com.tw/investors.php"
"1268","漢來美食股份有限公司","漢來美食","觀光餐旅","－","高雄市前金區成功一路266號21樓之1","	80352343","林淑婷","林淑婷","柯柏良","財務長","吳若寧","(07)213-5788","2003/01/09","2017/09/27",新台幣                 10.0000元,422237300,42223730,0,0,合併,每年,董事會,"福邦證券股份有限公司","(02)2371-1658","台北市中正區忠孝西路一段6號6樓","勤業眾信聯合會計師事務所","陳珍麗","張慈媛","Hi-Lai Foods","21F-1, No.266, Cheng-Kung 1st Road,80146 Kaohsiung City,Taiwan, R.O.C.","(07)215-5956","stock@hilai-foods.com","www.hilai-foods.com","柯柏良","財務長","(07)213-5788","stock@hilai-foods.com","www.hilai-foods.com","https://www.hilai-foods.com/stakeholders#39"
"1294","漢田生技股份有限公司","漢田生技","食品工業","－","彰化縣溪湖鎮西溪里工業路101號","	28814153","李雨霖","王國華","王國華","總經理","謝駿陽","04-8811181","2007/10/22","2024/09/26",新台幣                 10.0000元,305715630,30571563,0,0,合併,每年,董事會,"中國信託商業銀行代理部","02-6636-5566","100台北市中正區重慶南路一段83號5樓","勤業眾信聯合會計師事務所","陳明煇會計師","吳恪昌會計師","HTB","No. 101, Gongye Rd., Xihu Township,Changhua County, Taiwan (R.O.C)","04-8823456","IR@htbios.com","https://www.htbios.com/","謝駿陽","財務長","04-8811181#1500","IR@htbios.com","https://www.htbios.com/","https://www.htbios.com/investors"
"1295","生合生物科技股份有限公司","生合","食品工業","－","高雄市路竹區北嶺六路82號","	70402724","楊連傳","楊三連(執行長)","張秀如","副總經理","蔡明儒","07-6955680","2000/06/01","2025/05/27",新台幣                 10.0000元,344748000,34474800,0,0,合併,每年,董事會,"台新證券股務代理部","02-25048125","台北市建國北路一段96號B1","安侯建業聯合會計師事務所","高鈺倫","陳永祥","SYNBIO","NO.82,Beiling 6th Rd.,Luzhu Dist.,Kaohsiung City821,Taiwan","07-6955713","investor@synbiotech.com.tw","http://www.synbiotech.com","張秀如","副總經理","07-6955680","investor@synbiotech.com.tw","https://www.synbiotech.com/Invest/Stakeholder/Stakeholder.htm","https://www.synbiotech.com/Invest/governance"
"1336","台翰精密科技股份有限公司","台翰","電子零組件業","－","桃園市龜山區民生北路一段568號1樓","	22589593","蔡鎮隆","蔡鎮隆","李晉誠","執行副總經理","遺缺待補","03-3112025","1987/08/28","2007/11/02",新台幣                 10.0000元,776144190,77614419,0,0,合併,每年,董事會,"永豐金證券(股)公司股務代理部","02-23816288","台北市中正區博愛路17號3樓","資誠聯合會計師事務所","葉翠苗","林佳鴻","TAIHAN","1F., No. 568, Sec. 1, Minsheng N. Rd., Guishan Dist.Taoyuan City 333 , Taiwan (R.O.C.)","03-3112035","alen@thpt.com.tw","www.thpt.com.tw","李晉誠","執行副總經理","03-3112025","alen@thpt.com.tw","https://www.thpt.com.tw/contact/","https://www.thpt.com.tw/board_of_directors/"
"1565","精華光學股份有限公司","精華","生技醫療業","－","新北市汐止區大同路一段276之2號4、5樓","	22195654","陳明賢","周育然","周華玲","稽核室副理","林雅蘋","(02)8691-6000","1986/09/24","2004/03/30",新台幣                 10.0000元,504165160,50416516,0,0,合併,每年,董事會,"元大證券股務代理部","(02)2586-5859","106臺北市大安區敦化南路2段67號地下一樓","資誠聯合會計師事務所","蔡蓓華","游淑芬","St.Shine　","4, 5F, No. 276-2, Sec. 1, Ta Tung Rd,,Hsi Chih Dist., New Taipei City, Taiwan","(02)2647-9369","s0505@stshine.com.tw","http://www.stshine.com.tw","周華玲","稽核室副理","(02)2647-1578","s0505@stshine.com.tw","http://www.stshine.com.tw","https://www.stshine.com.tw/investor-relations/corporate-governance/corporate-governance/roles-develo"
"1569","濱川企業股份有限公司","濱川","電腦及週邊設備業","－","高雄市大寮區大發工業區興業路二號","	76404919","蕭欽銘","蕭欽群","李璠","副總經理","黃琳霽","07-7871521","1983/03/30","2005/07/29",新台幣                 10.0000元,1442474410,144247441,22800000,0,合併,每年,股東會,"富邦綜合證券股份有限公司","02-23611300","台北市中正區許昌街17號2樓","勤業眾信聯合會計師事務所","劉裕祥","許瑞軒","Bin Chuan","2 Shing Yeh Road Ta-fa Industrial ZoneKoahsiung  Taiwan R.O.C","07-7871515","fan_lee@hamagawa.com","https://www.hamagawa.com.tw/","李璠","副總經理","07-7871521分機16","investors@hamagawa.com","https://www.hamagawa.com.tw/?page_id=11893","－"
"1570","力肯實業股份有限公司","力肯","電機機械","－","新北市八里區博物館路81號","	36253534","陳立白","林昭陽","林婉菁","總管理處副總經理","林昭陽","(02)2619-5619","1983/12/23","2005/06/30",新台幣                 10.0000元,515008390,51500839,0,0,合併,每年,股東會,"元富證券股份有限公司股務代理部","(02)2768-6668","105台北市松山區光復北路11巷35號B1","勤業眾信聯合會計師事務所","龔則立會計師","方涵妮會計師","De Poan","NO.81, MUSEUM ROADBa-Li District, New Taipei City, Taiwan","(02)2619-5618","mops@depoan.com","www.depoan.com","林婉菁","總管理處副總經理","(02)2619-5619","mops@depoan.com","http://www.depoan.com/about_03.php?ef=1","－"
