"公司代號","公司名稱","住址","縣市別","產業類別","推薦或出具創新創意意見書單位","營利事業統一編號","董事長","總經理","發言人","發言人職稱","代理發言人","總機電話","成立日期","登入創櫃板日期","實收資本額(元)","股票過戶機構","過戶電話","過戶地址","英文簡稱","英文通訊地址","傳真機號碼","電子郵件信箱","網址"
"7401","格外農品股份有限公司","高雄市鳳山區文衡路196號","高雄市","社會企業","國立高雄科技大學","	24986035","林雅文","","游子昂","執行長","","0968995339","2015/06/11","2025/12/23",3794840,"國票綜合證券股份有限公司","(02) 2528-898","台北市南京東路5段188號15樓","GoodWill Foods","No. 196, Wenheng Rd., Fengshan Dist.Kaohsiung City 830002, Taiwan (R.O.C.)","","lynn@goodwillfoods.com","www.goodwillfoods.com"
"7403","紐因科技股份有限公司","新竹市東區光復路二段101號國立清華大學台達館 711 室","高雄市","數位雲端","國立清華大學創新育成中心","	89123194","蔡宗勳","蔡宗勳","蔡宗勳","董事長","","0937875250","2023/01/17","2025/12/29",21870000,"永豐金證券股份有限公司","0223816288","台北市博愛路17號3樓","NeuinX","Room 711, Delta Building, No. 101, Sec. 2, Guangfu Rd., East Dist.Hsinchu City 30013, Taiwan (R.O.C.)","","john.tsai@neuinx.com","https://neuinx.com"
"7405","騰雲運算股份有限公司","新北市新莊區中原路558號14樓","新北市","數位雲端","","	42736474","黃德蘭","賴桂楓","賴桂楓","總經理","盧適之","02-85218881","2018/07/16","2025/12/24",97520000,"福邦證券股份有限公司","02-2371-1658","台北市中正區忠孝西路一段6號6樓","Skycloud","14 F., No. 558, Zhongyuan Rd., Xinzhuang Dist.New Taipei City 242030, Taiwan(R.O.C.)","02-85219433","ray@skycloud.com.tw","https://www.skycloud.com.tw"
"7406","宇萌數位科技股份有限公司","台北市南港區三重路19-11號3F","臺北市","文化創意","經濟部中小企業處","	29151337","白璧珍","從缺","白璧珍","董事長","楊淑圓","(02)26552225","2010/04/26","2014/03/31",47203570,"元富證券股份有限公司","(02)2768-6668","105台北市松山區光復北路11巷35號B1","ARPlanet","3F, Bldg, E, NO.19-11, Sangchong Rd., Nangang DistrictTaipei, Taiwan","(02)27662227","service@arplanet.com.tw","www.arplanet.com.tw"
"7407","京冠生物科技股份有限公司","屏東縣內埔鄉內埔產業園區建邦路3號","屏東縣","生技醫療","行政院農業委員會","	13151374","楊青山","楊青山","畢家甄","總經理室協理","張靜宜","08-7788899","2001/07/03","2014/03/14",158590900,"元大證券股份有限公司","(02)2586-5859","106臺北市大安區敦化南路2段67號地下一樓)","KGbio","No.3, Jianbang Rd, Neipu Industrial Park, Neipu TownshipPingtung County, Taiwan(R.O.C.)","08-7786188","jim@kgbio.com.tw","www.kgbio.com.tw"
"7408","易得雲端股份有限公司","台北市內湖區內湖路1段316號5樓","臺北市","數位雲端","臺北市政府","	90616421","吳炯憲","吳炯憲","吳炯憲","總經理","","26579490","2022/03/07","2025/12/31",176689200,"永豐金證券股份有限公司","23823379","100台北市中正區博愛路17號3樓","E2 Nova","5F., No. 316, Sec. 1, Neihu Rd., Neihu Dist.,Taipei City 114, Taiwan (R.O.C.)","","akuo@e2nova.com","https://www.evoxglobal.com/"
"7409","美格儲能股份有限公司","桃園市蘆竹區經國路890號12樓","桃園市","綠能環保","安致勤資聯合會計師事務所","	50890400","徐瑞姬","丁廉君","丁廉君","總經理","丁昊中","033178899","2018/11/09","2025/12/31",147100000,"富邦綜合證券股份有限公司","0223611300","台北市中正區許昌街17號11樓","P8TW","12F., No. 890, Jingguo Rd., Luzhu Dist.Taoyuan City 338, TAIWAN (R.O.C.)","","haochung.ting@power8tech.com","https://zh.power8tech.com/"
"7410","萬寶隆空間設計裝潢股份有限公司","臺南市安平區億載里郡平路468號","臺南市","文化創意","臺南市政府","	54060779","黃敏傑","黃敏傑","黃敏傑","總經理","","06-2978000","2012/08/08","2025/12/30",53300000,"福邦證券股份有限公司","02-23711658","台北市中正區忠孝西路一段6號6樓","W-Design","2 F., No. 468, Junping Rd., Anping Dist., Tainan City 708011Taiwan (R.O.C.)","06-2971123","boss@swbl.com.tw","https://www.w-design.com.tw/"
"7412","生態綠股份有限公司","新北市三重區中興北街131之17號","新北市","農林漁牧","無","	28646760","徐文彥","徐文彥","曾曉薇","營運長","徐文彥","02-29991515","2007/04/18","2014/03/21",19028060,"永豐金證券股份有限公司","02-23816288","台北市中正區博愛路17號3樓","OKOGREEN","No.131-17, Zhongxing N. St., Sanchong Dist.,New Taipei City 241, Taiwan (R.O.C.)","02-29995225","service@okogreen.com.tw","http://okogreen.com.tw"
"7413","多扶事業股份有限公司","台北市文山區羅斯福路五段214號2樓","臺北市","社會企業","臺北市政府","	24346046","許佐夫","許佐夫","陳念祖","總監","陳利莉","02-86639398","2009/05/15","2014/04/18",28495620,"凱基證券股份有限公司","02-23892999","台北市中正區重慶南路一段2號5樓","DuoFu","116060 2F No.214, Sec. 5, Roosevelt Rd., Wenshan Dist.,Taipei City , Taiwan (R.O.C.)","02-89310555","service@duofu.com.tw","www.duofu.com.tw"
