"公司代號","公司名稱","公司簡稱","產業類別","外國企業註冊地國","住址","營利事業統一編號","董事長","總經理","發言人","發言人職稱","代理發言人","總機電話","成立日期","興櫃日期","普通股每股面額","實收資本額(元)","已發行普通股數或TDR原發行股數","私募普通股(股)","特別股(股)","編製財務報告類型","普通股盈餘分派或虧損撥補頻率","普通股年度(含第4季或後半年度)現金股息及紅利決議層級","股票過戶機構","過戶電話","過戶地址","簽證會計師事務所","簽證會計師1","簽證會計師2","英文簡稱","英文通訊地址","傳真機號碼","電子郵件信箱","公司網址","投資人關係聯絡人","投資人關係聯絡人職稱","投資人關係聯絡電話","投資人關係聯絡電子郵件","公司網站內利害關係人專區網址","公司網站內公司治理資訊專區網址"
"1260","富味鄉食品股份有限公司","富味鄉","食品工業","－","台北市大安區市民大道四段102號11樓","	12467902","陳昶宏","陳昶宏","陳淑紋","副總經理","李芳怡","(02)2750-5667","1983/11/08","2012/11/26",新台幣                 10.0000元,1020981820,102098182,0,0,合併,每年,董事會,"福邦證券股份有限公司","(02)2371-1658","台北市中正區忠孝西路一段６號６樓","資誠聯合會計師事務所","黃金連","賴宗羲","FLAVOR","11F., No. 102, Sec. 4, Civic Blvd., Da'an Dist.,Taipei City 106, Taiwan","(02)2750-6777","flavor@flavor.com.tw","www.flavor.com.tw","－","－","－","－","www.flavor.com.tw","－"
"1269","乾杯股份有限公司","乾杯","觀光餐旅","－","台北市中正區忠孝東路二段88號11樓","	70443909","平出莊司","平出莊司","廖佳怡","董事長室經理","董浩成","(02)3322-2627","1999/10/13","2016/08/29",新台幣                 10.0000元,209094610,20909461,0,0,合併,每年,股東會,"凱基證券股份有限公司","02-2389-2999","台北市中正區重慶南路1段2號5樓","勤業眾信聯合會計師事務所","林淑如","虞成全","KANPAI","11F., No.88, Sec. 2, Zhongxiao E. Rd., Zhongzheng Dist.,Taipei City 100, Taiwan (R.O.C.)","(02)3322-2696","ir@kanpai.com.tw","www.kanpai.com.tw","－","－","－","－","www.kanpai.com.tw","－"
"1271","晨暉生物科技股份有限公司","晨暉生技","生技醫療業","－","新北市汐止區工建路356號1樓","	28708250","盛保熙","執行長：陳培志","潘佳岳","總經理","柯伯翰","(02)2792-9568","2007/09/10","2021/01/18",新台幣                 10.0000元,603890660,60389066,0,0,合併,每年,董事會,"台新綜合證券(股)公司股務代理部","(02)2504-8125","台北市中山區建國北路一段96號B1","安永聯合會計師事務所","姚世傑","張巧穎","SunWay","1 F., No. 356, Gongjian Rd., Xizhi Dist.New Taipei City, Taiwan (R.O.C.)","(02)2792-9566","ir@sunway.cc","www.sunway.cc","－","－","－","－","www.sunway.cc","－"
"1293","利統股份有限公司","利統","食品工業","－","新北市汐止區康寧街169巷31-1號13樓之1","	89955491","張天鴻","林燕","林燕(代理)","總經理","林燕","(02)2694-0885","1994/12/28","2021/10/29",新台幣                 10.0000元,170941120,17094112,0,0,合併,每年,董事會,"福邦證券股份有限公司","(02)2371-1658","台北市中正區忠孝西路一段6號6樓","安侯建業聯合會計師事務所","吳趙仁","江曉苓","Lytone","13F-1, No. 31-1, Ln. 169, Kangning St., Xizhi Dist.,New Taipei City, Taiwan, R.O.C.","(02)2694-0121","ir@lytone.com","http://www.lytone.com","－","－","－","－","http://www.lytone.com","－"
"1343","旭東環保科技股份有限公司","旭東環保","綠能環保","－","屏東縣屏東市大洲里環東街2號","	89323361","董基旭","董基旭","董妍伶","董事長特助","從缺","(08)7530968","1995/02/10","2021/03/25",新台幣                 10.0000元,405138740,40513874,0,0,個別,每年,董事會,"華南永昌綜合證券股份有限公司","(02)2718-6425","台北市松山區民生東路四段54號4樓","勤業眾信聯合會計師事務所","陳秀雯","張慈媛","SUN RISE","No.2, Huandong St.Pingtung City, Pingtung County , Taiwan","(08)7535986","sunrise@srise.com.tw","https://www.srise.com.tw/","－","－","－","－","https://www.srise.com.tw/","－"
"1480","東盟開發實業股份有限公司","東盟開發","鋼鐵工業","－","台南市學甲區秀昌里5鄰一秀155號","	88121697","劉子敬","劉子敬","馬畹芬","資材部經理","彭俊鑫","02-26961255","1968/10/17","2023/10/27",新台幣                 10.0000元,4160852170,416085217,0,0,個別,每年,股東會,"統一綜合證券股份有限公司","02-27463797","台北市松山區東興路8號B1樓","勤業眾信聯合會計師事務所","廖鴻儒","楊朝欽","TM　　","Tower C, 24FL,No.90,Sec.1, Hsin-Tai 5th Rd.,Hsichih Dist.,　　New Taipei City,Taiwan,R.O.C.　　","02-26961352","無","www.tungmung.com.tw","－","－","－","－","?L","－"
"1594","日高工程實業股份有限公司","日高","電機機械","－","(80147)高雄市前金區中正四路136號11樓","	04938839","陳鴻文","周賢昌","周賢昌","總經理","林盈秀","07-2858631","1974/04/02","2010/10/13",新台幣                 10.0000元,332200000,33220000,0,0,合併,每年,股東會,"國票綜合證券(股)公司股務代理部","02-25288988","台北市松山區南京東路五段188號15樓","勤業眾信聯合會計師事務所","陳明煇","陳秀雯","JUKAO","11F.,No.136,Zhongzheng 4th Rd.,Qianjin Dist.,Kaohsiung,80147Taiwan,Republic of china","07-2874674","jk_sales@jukao.com.tw","http://www.jukao.com.tw/","－","－","－","－","http://www.jukao.com.tw/interested.asp","－"
"1780","立弘生化科技股份有限公司","立弘","生技醫療業","－","(106)台北市敦化南路二段71號13樓","	12971536","楊正利","林清輝","楊幸慧","協理","楊子萱","27030209","2001/12/25","2010/04/29",新台幣                 10.0000元,962431730,96243173,0,0,合併,每年,股東會,"群益金鼎證券股份有限公司","27023999","台北市敦化南路二段97號B2","資誠聯合會計師事務所","阮呂曼玉","徐聖忠","ABC","13TH FL.,NO71 SEC.2 TUN-HWA SOUTH ROAD.TAIPEI.10682 TAIWAN, R.O.C","27030289","eyang@altratene.com","www.altratene.com/tw","－","－","－","－","?L","－"
"2071","震南鐵線股份有限公司","震南鐵","鋼鐵工業","－","高雄市路竹區順安路275巷202號","	86540792","黃錦榮","余金珠","蔡婉玲","財會經理","余金珠","(07)697-5852","1992/01/20","2019/09/23",新台幣                 10.0000元,690460000,69046000,0,0,合併,每年,股東會,"台新綜合證券(股)公司股務代理部","(02)2504-8125","台北市建國北路一段96號地下一樓","資誠聯合會計師事務所","徐惠榆","葉芳婷","Chen Nan Steel","NO.202,LANE 275,SHUN AN ROAD,LU ZHU DIST.KAOHSIUNG CITY TAIWAN,R.O.C","(07)607-2855","chennanir@chen-nan.com.tw","https://www.chen-nan.com.tw","－","－","－","－","https://www.chen-nan.com.tw","－"
"2072","世紀離岸風電設備股份有限公司","世紀風電","鋼鐵工業","－","新北市八里區下罟里5鄰中山路3段388之5號","	69651695","賴文祥","林明政","賴宣邠","業務副總","林明政","02-89798698","2017/05/15","2020/11/30",新台幣                 10.0000元,1700000000,170000000,0,0,合併,每年,董事會,"群益金鼎證券股份有限公司","(02)2702-3999","台北市大安區敦化南路二段97號B2","安永聯合會計師事務所","林政緯","陳國帥","CWP","No. 388-5, Sec. 3, Zhongshan Rd., Bali Dist., New Taipei City 249001, TaiwanNEW TAIPEI, TAIWAN","02-89798702","ir@cwptw.com","www.cwptw.com","－","－","－","－","http://www.cwptw.com/tw/duty/68/","－"
